R,G,B,label
134.95812671467763,155.80334619341565,134.38632630315502,1
137.0116546639232,158.14772633744855,131.41087620027434,1
129.5236488340192,153.08016117969822,133.1493998628258,1
129.5236488340192,153.08016117969822,133.1493998628258,1
130.49748885459533,152.97384516460906,138.79595078875172,1
130.49748885459533,152.97384516460906,138.79595078875172,1
123.11329046639231,139.09308470507546,133.30785322359395,1
141.5323353909465,160.95405521262003,129.99558470507546,1
141.5323353909465,160.95405521262003,129.99558470507546,1
122.9047633744856,144.19894290123457,123.16580161179698,1
134.95812671467763,155.80334619341565,134.38632630315502,1
122.9047633744856,144.19894290123457,123.16580161179698,1
132.38135373799724,153.02436042524005,134.24353137860084,1
132.38135373799724,153.02436042524005,134.24353137860084,1
125.75729852537722,146.42297067901234,130.29763203017833,1
125.75729852537722,146.42297067901234,130.29763203017833,1
141.9447033607682,158.8803163580247,145.48244770233197,1
123.15765089163237,152.3475600137174,130.8148268175583,1
123.15765089163237,152.3475600137174,130.8148268175583,1
127.61518175582991,151.09900548696845,134.17556755829904,1
166.04325703017832,182.92507973251028,163.9495010288066,1
127.61518175582991,151.09900548696845,134.17556755829904,1
135.50005829903978,158.32834104938271,146.27695130315502,1
135.50005829903978,158.32834104938271,146.27695130315502,1
138.77780092592593,163.9369761659808,145.0032896090535,1
138.77780092592593,163.9369761659808,145.0032896090535,1
134.9918038408779,157.4947599451303,144.52222650891633,1
134.9918038408779,157.4947599451303,144.52222650891633,1
135.4928806584362,159.0032973251029,136.38818501371742,1
135.4928806584362,159.0032973251029,136.38818501371742,1
166.04325703017832,182.92507973251028,163.9495010288066,1
135.61827160493826,151.13521347736625,125.39607167352538,1
119.11251457475994,141.2478120713306,128.50416066529493,1
119.11251457475994,141.2478120713306,128.50416066529493,1
117.6451225994513,133.22875171467763,116.6149151234568,1
117.6451225994513,133.22875171467763,116.6149151234568,1
143.21795781893005,164.35412808641976,151.89379458161866,1
143.21795781893005,164.35412808641976,151.89379458161866,1
135.94821073388204,157.54388803155007,136.37280349794239,1
135.94821073388204,157.54388803155007,136.37280349794239,1
136.58908093278464,145.4077914951989,115.1403420781893,2
136.96899862825788,154.80966735253773,126.77809413580248,2
136.96899862825788,154.80966735253773,126.77809413580248,2
140.4038803155007,146.52720164609053,100.61210819615913,2
140.4038803155007,146.52720164609053,100.61210819615913,2
135.16697359396434,149.00575445816187,103.49047410836762,2
135.16697359396434,149.00575445816187,103.49047410836762,2
118.00633916323731,150.4483650548697,124.60765432098765,2
114.71578360768176,137.02264574759946,131.37329989711935,2
136.58908093278464,145.4077914951989,115.1403420781893,2
129.33227794924554,145.8304809670782,170.02961848422495,2
125.2066006515775,145.1448062414266,156.97712534293552,2
122.00500171467765,142.96590192043897,158.50312585733883,2
129.33227794924554,145.8304809670782,170.02961848422495,2
123.66905606995884,141.8757355967078,162.06393432784637,2
125.16557098765432,146.4565586419753,153.60424982853223,2
115.48944101508917,133.76600737311387,169.48482167352537,2
129.5053798010974,144.01278635116597,165.7028549382716,2
129.5053798010974,144.01278635116597,165.7028549382716,2
126.05754801097393,140.28592764060357,166.66802554869685,2
118.86013460219479,143.3093758573388,121.54983624828532,2
100.84453703703704,137.06739711934156,127.02667181069958,2
143.81965020576132,156.5849785665295,141.29863940329219,2
118.86013460219479,143.3093758573388,121.54983624828532,2
115.28969650205761,141.34115226337448,134.20493912894375,2
119.50803240740741,143.07905521262003,125.24581447187929,2
131.33979423868314,149.9340715020576,139.72523405349793,2
120.08552640603567,139.3259122085048,126.69230195473251,2
102.94690757887517,135.88860939643348,116.26587105624142,2
106.39864283264747,132.34409379286694,115.74960819615912,2
121.85798096707819,136.90490912208506,125.20938957475994,2
135.28014231824417,144.3096536351166,131.74777091906722,2
127.97523062414267,146.48228995198903,125.51058470507544,2
127.86963477366255,143.9133916323731,130.5491546639232,2
121.46331447187929,138.78682784636487,126.65973165294925,2
123.40903635116598,147.64281121399176,119.2297719478738,2
127.86963477366255,143.9133916323731,130.5491546639232,2
127.4534456447188,148.45787722908094,131.91635288065842,2
131.8827280521262,146.73747170781894,135.47388203017832,2
131.8827280521262,146.73747170781894,135.47388203017832,2
