,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Label,hist_r1,hist_r2,hist_r3,hist_r4,hist_r5,hist_r6,…,contrast 0,contrast 45,contrast 90,contrast 135,,,
,,1,1,0.0016,0.0390,0.2077,0.1466,0.0639,0.0357,…,0.0005,0.0005,0.0005,0.0006,,,
,,2,1,0.0158,0.2711,0.2122,0.0501,0.0183,0.0093,…,0.0003,0.0004,0.0003,0.0004,,,
,,3,1,0.1033,0.1990,0.1743,0.0806,0.0392,0.0197,…,0.0004,0.0005,0.0004,0.0004,,,
,,4,1,0.1032,0.1990,0.1744,0.0806,0.0392,0.0198,…,0.0004,0.0004,0.0004,0.0005,,,
,,5,1,0.1165,0.2086,0.1782,0.0861,0.0430,0.0218,…,0.0004,0.0005,0.0005,0.0005,,,
,,…,…,…,…,…,…,…,…,…,…,…,…,…,,,
,,796,5,0.0008,0.0250,0.1139,0.1782,0.1809,0.1271,…,0.0006,0.0006,0.0005,0.0006,,,
,,797,5,0.0000,0.0007,0.0128,0.0611,0.1329,0.1547,…,0.0005,0.0006,0.0006,0.0006,,,
,,798,5,0.0052,0.1275,0.2259,0.1611,0.0886,0.0571,…,0.0006,0.0006,0.0005,0.0006,,,
,,799,5,0.0034,0.1063,0.1985,0.1426,0.0781,0.0493,…,0.0004,0.0005,0.0004,0.0005,,,
,,800,5,0.0034,0.1063,0.1982,0.1430,0.0780,0.0494,…,0.0004,0.0005,0.0004,0.0005,,,
,,,800 rows x 65 columns,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
